Capture File,Test Device,Date,App,Category,Action,Notes
iphonelingokids2,iPhone,04/20/20,Lingokids - English for Kids,Kids,"opened the app, created an account for a child, signed in with my email",
iphoneepic2,iPhone,04/20/20,Epic! - Kids Books and Video,Kids,"opened the app, created an account for a child, signed in with my email",
iphonebarbiedreamhouse2,iPhone,04/20/20,Barbie Dreamhouse Adventures,Kids,"opened the app, watched some intro videos, moved some pastries around",
iphonepbskidsvideo2,iPhone,04/20/20,PBS KIDS Video,Kids,"opened the app, scrolled through the shows, watched some arthur",
iphonenoggin2,iPhone,04/20/20,Noggin Preschool Learning App,Kids,"opened the app, created an account",
iphoneturbotax2,iPhone,04/20/20,TurboTax Tax Return App,Finance,"opened the app, filled out some information, selected the basic free plan",
iphonecashapp2,iPhone,04/20/20,Cash App,Finance,opened the app request $2 from lsingh@college.harvard.edu,
iphonevenmo2,iPhone,04/20/20,Venmo,Finance,"opened the app, requested $2 from my personal venmo",
iphonepaypal2,iPhone,04/20/20,PayPal: Mobile Cash,Finance,"opened the app, started to sign up for an account",
iphoneirs2go2,iPhone,04/20/20,IRS2Go,Finance,"opened the app, selected various pages",
iphoneturbo2,iPhone,04/20/20,Turbo: Income Scores & Credit,Finance,"opened the app, went to sign in to an account and entered my email, did not complete sign in",
iphonecreditkarma2,iPhone,04/20/20,Credit Karma,Finance,"opened the app, signed in to an account",
iphonezelle2,iPhone,04/20/20,Zelle,Finance,"opened the app, signed in with my phone number, searched for my bank and selected it",
iphonecapitalone2,iPhone,04/20/20,Capital One Mobile,Finance,"opened the app, selected security and privacy",couldn't do much without a capital one bank account (which i do not have)
iphonerobinhood2,iPhone,04/20/20,Robinhood: Invest Save Earn,Finance,"opened the app, started to sign up for an account",
